,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Consumer,16.0,0.0,86.833176,15.0,0.544433,86.833176,17.0,0.0,177.62883,16.0,0.544433,230.07825,14.0,0.0,86.833176
Consumer,16.0,0.0,90.255196,15.0,0.544433,125.60653,17.0,0.0,234.047,17.0,0.0,181.81859,14.0,0.0,293.77713
LazyConsumer,15.0,0.0,90.24965999999999,17.0,0.0,134.46933,14.0,0.0,309.48022000000003,17.0,0.0,193.98196000000002,16.0,0.544433,248.64632999999998
EcologicalConsumer,17.0,0.0,146.03082,17.0,0.0,146.03082,17.0,0.0,188.04521,16.0,0.0,105.70241499999999,15.0,0.544433,105.70241499999999
EcologicalConsumer,14.0,0.0,151.99013,14.0,0.0,160.52414,14.0,0.544433,151.99013,17.0,0.0,100.17984,17.0,0.0,108.16654
Consumer,14.0,0.0,101.59232,14.0,0.0,101.59232,14.0,0.0,189.85521,14.0,0.0,101.59232,15.0,0.544433,189.85521
Consumer,17.0,0.0,109.03669,17.0,0.0,109.03669,17.0,0.544433,129.46813999999998,14.0,0.544433,210.48753,15.0,0.544433,129.46813999999998
Consumer,15.0,0.544433,127.98828,16.0,0.0,87.36131999999999,15.0,0.0,127.98828,16.0,0.0,87.36131999999999,17.0,0.0,186.38669
Consumer,16.0,0.544433,123.14625500000001,14.0,0.0,159.61516,14.0,0.544433,166.23477,14.0,0.0,159.61516,14.0,0.544433,166.23477
EcologicalConsumer,15.0,0.0,119.47385,16.0,0.0,157.26729,17.0,0.0,129.84991000000002,16.0,0.0,157.26729,15.0,0.0,119.47385
LazyConsumer,14.0,0.0,101.133575,14.0,0.0,183.17203999999998,14.0,0.544433,239.17567000000003,17.0,0.0,99.92497,14.0,0.544433,183.17203999999998
Consumer,14.0,0.0,247.77611000000002,16.0,0.0,191.43668,14.0,0.0,247.77611000000002,16.0,0.0,191.43668,15.0,0.0,100.65784000000001
EcologicalConsumer,12.0,0.0,115.62438999999999,15.0,0.0,130.0,14.0,0.0,156.20498999999998,15.0,0.544433,130.0,16.0,0.0,173.62315
LazyConsumer,17.0,0.0,242.33241,17.0,0.0,242.33241,16.0,0.0,86.33076,14.0,0.544433,303.16003,17.0,0.0,187.83237
LazyConsumer,17.0,0.544433,135.20355,15.0,0.0,221.81975,16.0,0.0,108.0,15.0,0.544433,221.81975,16.0,0.0,108.0
Consumer,14.0,0.0,150.71164,15.0,0.0,173.41568,16.0,0.0,112.25417,14.0,0.0,150.71164,16.0,0.0,112.25417
EcologicalConsumer,15.0,0.0,155.97435,15.0,0.0,104.40307,13.0,0.544433,155.97435,13.0,0.0,255.6658,15.0,0.544433,112.89375
Consumer,15.0,0.0,103.31505600000001,14.0,0.0,103.31505600000001,17.0,0.0,102.18121,16.0,0.544433,183.3303,14.0,0.0,239.11712999999997
EcologicalConsumer,12.0,0.0,152.97058,14.0,0.0,260.93102999999996,15.0,0.0,102.88343,16.0,0.0,85.90693,15.0,0.0,102.88343
EcologicalConsumer,16.0,0.0,187.83237,14.0,0.544433,244.23349,16.0,0.544433,99.92497,16.0,0.544433,187.83237,16.0,0.0,99.92497
Consumer,14.0,0.0,158.47397,14.0,0.544433,155.03871,16.0,0.544433,158.47397,16.0,0.544433,110.67971999999999,16.0,0.0,158.47397
Consumer,17.0,0.0,181.81859,17.0,0.0,125.60653,17.0,0.544433,181.81859,14.0,0.0,293.77713,16.0,0.0,234.047
LazyConsumer,14.0,0.0,106.02358000000001,17.0,0.0,264.3199,17.0,0.0,264.3199,14.0,0.0,324.4719,17.0,0.0,210.53502999999998
Consumer,15.0,0.0,240.16869,16.0,0.544433,240.16869,13.0,0.544433,138.03261,15.0,0.0,183.19933999999998,13.0,0.0,138.03261
Consumer,16.0,0.0,234.047,16.0,0.0,90.255196,16.0,0.544433,234.047,15.0,0.544433,90.255196,16.0,0.0,234.047
LazyConsumer,14.0,0.0,170.30855,16.0,0.0,103.44564,14.0,0.544433,170.30855,14.0,0.544433,103.44564,17.0,0.0,102.10779000000001
Consumer,10.0,0.0,186.38669,15.0,0.0,119.43616999999999,13.0,0.544433,186.38669,15.0,0.0,146.50938,13.0,0.544433,119.43616999999999
Consumer,14.0,0.0,102.18121,16.0,0.0,103.31505600000001,14.0,0.544433,103.31505600000001,15.0,0.544433,102.18121,17.0,0.0,183.3303
EcologicalConsumer,14.0,0.544433,130.0,14.0,0.0,156.20498999999998,14.0,0.0,130.0,16.0,0.0,173.62315,14.0,0.0,130.0
EcologicalConsumer,16.0,0.0,112.32987,15.0,0.0,100.04499,16.0,0.0,112.32987,17.0,0.0,130.69812,15.0,0.0,100.04499
Consumer,14.0,0.0,93.193344,14.0,0.0,222.56909,17.0,0.0,166.97305,14.0,0.0,222.56909,17.0,0.0,93.193344
EcologicalConsumer,14.0,0.0,157.26729,17.0,0.0,116.34862,17.0,0.0,129.84991000000002,14.0,0.544433,173.44163999999998,15.0,0.544433,157.26729
EcologicalConsumer,11.0,1.0,134.4656,13.0,1.0,299.54132000000004,14.0,0.0,299.54132000000004,14.0,0.0,134.4656,10.0,0.0,299.54132000000004
LazyConsumer,16.0,0.0,140.42792,14.0,0.0,172.4094,17.0,0.0,101.11874399999999,16.0,0.544433,123.10971,17.0,0.0,101.607086
LazyConsumer,13.0,0.544433,107.37783999999999,15.0,0.0,170.01764,16.0,0.0,224.92888,13.0,0.0,129.84991000000002,13.0,0.0,107.37783999999999
Consumer,15.0,0.544433,109.03669,14.0,0.544433,129.46813999999998,17.0,0.0,210.48753,14.0,0.0,129.46813999999998,14.0,0.0,210.48753
Consumer,12.0,0.8843495000000001,147.8276,15.0,0.0,193.49419,16.0,0.0,250.35374,17.0,0.0,103.46497,12.0,0.0,147.8276
Consumer,13.0,1.0,142.27438,14.0,0.27414954,104.21611999999999,14.0,0.27414954,142.27438,14.0,0.0,127.349915,10.0,1.0,142.27438
LazyConsumer,14.0,0.0,111.60645,14.0,0.0,218.75328,16.0,0.544433,164.40195,16.0,0.0,111.60645,14.0,0.544433,218.75328
Consumer,16.0,0.0,143.01048,16.0,0.0,141.44963,14.0,0.0,190.90573,16.0,0.0,141.44963,14.0,0.544433,190.90573
Consumer,17.0,0.0,189.61276,17.0,0.0,133.30417,17.0,0.544433,189.61276,15.0,0.0,96.317184,16.0,0.0,241.58848999999998
EcologicalConsumer,14.0,0.544433,191.90883,14.0,0.0,141.42842,17.0,0.0,111.01801,17.0,0.0,144.31216,16.0,0.544433,111.01801
