,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Consumer,13.0,0.0,175.02571,14.0,0.0,92.417534,13.0,0.55946237,175.02571,14.0,0.0,92.417534,13.0,0.55946237,97.06184
Consumer,13.0,0.0,142.80057,14.0,0.0,92.76314,13.0,0.55946237,120.93387,13.0,0.0,142.80057,14.0,0.55946237,92.76314
LazyConsumer,16.0,0.0,106.437775,15.0,0.55946237,177.01978,14.0,0.0,241.04979,14.0,0.0,125.31959,15.0,0.0,177.01978
EcologicalConsumer,14.0,0.55946237,127.349915,14.0,0.55946237,246.62927,14.0,0.55946237,246.62927,15.0,0.55946237,181.72781,14.0,0.0,127.349915
Consumer,14.0,0.55946237,235.83469,15.0,0.0,172.86122,14.0,0.0,235.83469,15.0,0.0,172.86122,16.0,0.0,115.97414
EcologicalConsumer,14.0,0.0,260.4477,15.0,0.0,195.61697,16.0,0.0,99.724625,14.0,0.0,140.92906,14.0,0.8197223,260.4477
EcologicalConsumer,14.0,0.55946237,159.4522,14.0,0.0,91.787796,14.0,0.0,159.4522,14.0,0.55946237,91.787796,15.0,0.0,106.677086
EcologicalConsumer,14.0,0.0,107.837845,14.0,0.0,107.837845,15.0,0.0,94.36631,14.0,0.55946237,107.837845,15.0,0.0,94.36631
EcologicalConsumer,14.0,0.0,107.837845,13.0,0.0,127.349915,14.0,0.0,107.837845,13.0,0.0,145.45447,13.0,0.0,127.349915
Consumer,16.0,0.0,158.44557,16.0,0.0,110.67972,16.0,0.0,115.80155,16.0,0.0,158.44557,16.0,0.0,110.67972
Consumer,14.0,0.0,167.40968,13.0,0.0,222.3196,13.0,0.0,94.04786,15.0,0.0,115.80155,13.0,0.0,94.04786
EcologicalConsumer,16.0,0.0,138.05795,14.0,0.0,99.31767,13.0,0.0,184.22812,16.0,0.0,138.05795,16.0,0.0,123.79418
EcologicalConsumer,16.0,0.0,245.79869,16.0,0.0,89.31965,14.0,0.0,101.51354,16.0,0.0,245.79869,15.0,0.55946237,89.31965
Consumer,16.0,0.0,206.89128,13.0,0.0,102.59142,16.0,0.0,141.60509,16.0,0.0,206.89128,13.0,0.55946237,141.60509
EcologicalConsumer,13.0,0.55946237,138.05795,14.0,0.0,99.31767,13.0,0.55946237,123.79418,14.0,0.0,99.31767,13.0,0.0,138.05795
EcologicalConsumer,14.0,0.0,108.706024,13.0,0.0,269.84625,16.0,0.0,93.214806,16.0,0.0,204.3771,16.0,0.0,93.214806
EcologicalConsumer,14.0,0.0,134.20134,13.0,0.55946237,236.16309,13.0,0.55946237,236.16309,13.0,0.0,104.0865,14.0,0.55946237,134.20134
LazyConsumer,15.0,0.0,137.36084,13.0,0.0,252.17455,14.0,0.0,194.49422,13.0,0.55946237,252.17455,14.0,0.0,194.49422
EcologicalConsumer,13.0,0.0,127.349915,13.0,0.0,145.45447,13.0,0.0,127.349915,14.0,0.55946237,107.837845,13.0,0.0,145.45447
EcologicalConsumer,13.0,1.0,103.58089,13.0,0.0,108.26819,12.0,0.36005268,188.90474,16.0,0.0,154.98709,13.0,0.0,108.26819
EcologicalConsumer,13.0,1.0,159.154,13.0,0.5861402,159.154,13.0,0.65429753,103.392456,13.0,0.9562356,214.76732,16.0,0.0,159.154
Consumer,15.0,0.0,119.03781,14.0,0.55946237,103.04368,15.0,0.0,119.03781,16.0,0.0,229.61272,16.0,0.0,229.61272
EcologicalConsumer,13.0,0.0,265.27155,16.0,0.0,146.50938,16.0,0.0,146.50938,16.0,0.0,200.68881,15.0,0.0,265.27155
Consumer,13.0,0.0,94.72592,14.0,0.0,128.31601,13.0,0.0,94.72592,13.0,0.0,234.77649,13.0,0.55946237,94.72592
LazyConsumer,15.0,0.0,119.55334,14.0,0.0,85.61542,14.0,0.55946237,234.55702,15.0,0.0,119.55334,14.0,0.0,85.61542
Consumer,15.0,0.0,102.88343,14.0,0.55946237,91.78235,14.0,0.55946237,154.31137,15.0,0.0,102.88343,14.0,0.55946237,91.78235
LazyConsumer,13.0,0.0,105.11898,13.0,0.0,105.11898,14.0,0.0,132.54811,13.0,0.55946237,105.11898,14.0,0.0,132.54811
LazyConsumer,14.0,0.55946237,119.20151,16.0,0.0,215.56438,16.0,0.0,99.18165,14.0,0.0,119.20151,14.0,0.0,119.20151
EcologicalConsumer,15.0,0.55946237,106.677086,14.0,0.0,124.47088,15.0,0.0,106.677086,15.0,0.0,91.787796,14.0,0.0,124.47088
LazyConsumer,13.0,0.55946237,99.724625,13.0,0.0,252.17455,14.0,0.55946237,194.49422,13.0,0.0,252.17455,15.0,0.0,137.36084
EcologicalConsumer,15.0,0.55946237,226.11943,14.0,0.0,292.13867,15.0,0.0,226.11943,14.0,0.0,292.13867,14.0,0.55946237,167.27522
EcologicalConsumer,16.0,0.55946237,147.05441,13.0,0.0,210.23796,14.0,0.0,90.79648,16.0,0.0,99.8599,16.0,0.0,99.8599
EcologicalConsumer,14.0,0.55946237,140.26404,13.0,0.0,252.81021,13.0,0.0,97.16995,14.0,0.0,140.26404,13.0,0.0,252.81021
EcologicalConsumer,16.0,0.0,97.16995,15.0,0.55946237,181.72781,14.0,0.0,246.62927,15.0,0.0,181.72781,16.0,0.0,97.16995
LazyConsumer,14.0,0.0,154.80634,13.0,0.55946237,89.453896,13.0,0.0,209.33466,14.0,0.55946237,154.80634,13.0,0.0,209.33466
LazyConsumer,14.0,0.0,183.69812,16.0,0.0,113.08846,16.0,0.0,240.69275,13.0,0.55946237,113.08846,14.0,0.0,183.69812
EcologicalConsumer,13.0,0.0,214.76732,14.0,0.55946237,121.235306,13.0,0.0,214.76732,14.0,0.0,121.235306,13.0,0.0,214.76732
EcologicalConsumer,13.0,0.0,91.44397,13.0,0.0,226.52373,14.0,0.0,170.57843,13.0,0.0,226.52373,14.0,0.0,170.57843
EcologicalConsumer,13.0,0.0,89.31965,13.0,0.0,89.31965,13.0,0.0,245.79869,14.0,0.0,187.0,13.0,0.0,89.31965
Consumer,13.0,0.0,122.41323,14.0,0.0,120.06665,13.0,0.55946237,160.86018,13.0,0.0,122.41323,14.0,0.55946237,120.06665
